,dec_b_-40,dec_b_0,dec_b_40,dec_b_80,dec_b_120,name,type,time,OK
0,0.04926316,0.03884211,0.03221053,0.02557895,0.01989474,tran_SchGtKfsTlVh,Sch,Thu Apr 10 18:38:13 2025,True
1,0.05873684,0.04357895,0.036,0.03221053,0.02747368,tran_SchGtKsfTlVh,Sch,Thu Apr 10 18:36:10 2025,True
2,0.03694737,0.03031579,0.02463158,0.02084211,0.018,tran_SchGtKffTlVh,Sch,Thu Apr 10 18:34:08 2025,True
3,0.072,0.05589474,0.04642105,0.03884211,0.03221053,tran_SchGtKssTlVh,Sch,Thu Apr 10 18:32:02 2025,True
4,0.04926316,0.03884211,0.03221053,0.02557895,0.01989474,tran_SchGtKfsThVh,Sch,Thu Apr 10 18:29:55 2025,True
5,0.05873684,0.04357895,0.036,0.03221053,0.02747368,tran_SchGtKsfThVh,Sch,Thu Apr 10 18:27:54 2025,True
6,0.03694737,0.03031579,0.02463158,0.02084211,0.018,tran_SchGtKffThVh,Sch,Thu Apr 10 18:25:52 2025,True
7,0.072,0.05589474,0.04642105,0.03884211,0.03221053,tran_SchGtKssThVh,Sch,Thu Apr 10 18:23:46 2025,True
8,0.05717647,0.04552941,0.03705882,0.02858824,0.02435294,tran_SchGtKfsTlVl,Sch,Thu Apr 10 18:21:45 2025,True
9,0.1461176,0.054,0.04129412,0.03494118,0.03176471,tran_SchGtKsfTlVl,Sch,Thu Apr 10 18:19:46 2025,True
10,0.03388235,0.03388235,0.02858824,0.02435294,0.02011765,tran_SchGtKffTlVl,Sch,Thu Apr 10 18:17:47 2025,True
11,0.1111765,0.06564706,0.05294118,0.04447059,0.03705882,tran_SchGtKssTlVl,Sch,Thu Apr 10 18:15:42 2025,True
12,0.05717647,0.04552941,0.03705882,0.02858824,0.02435294,tran_SchGtKfsThVl,Sch,Thu Apr 10 18:13:41 2025,True
13,0.1461176,0.054,0.04129412,0.03494118,0.03176471,tran_SchGtKsfThVl,Sch,Thu Apr 10 18:11:38 2025,True
14,0.03388235,0.03388235,0.02858824,0.02435294,0.02011765,tran_SchGtKffThVl,Sch,Thu Apr 10 18:09:39 2025,True
15,0.1111765,0.06564706,0.05294118,0.04447059,0.03705882,tran_SchGtKssThVl,Sch,Thu Apr 10 18:07:39 2025,True
