,dec_b_-40,dec_b_0,dec_b_40,dec_b_80,dec_b_120,name,type,time,OK
0,0.071,0.061,0.05,0.041,0.033,tran_SchGtKttmmTtVt_29,Sch,Thu Apr 10 19:40:43 2025,True
1,0.065,0.048,0.04,0.033,0.029,tran_SchGtKttmmTtVt_28,Sch,Thu Apr 10 19:38:28 2025,True
2,0.051,0.046,0.037,0.032,0.027,tran_SchGtKttmmTtVt_27,Sch,Thu Apr 10 19:36:19 2025,True
3,0.0,0.062,0.05,0.041,0.033,tran_SchGtKttmmTtVt_26,Sch,Thu Apr 10 19:34:15 2025,True
4,0.051,0.046,0.038,0.033,0.028,tran_SchGtKttmmTtVt_25,Sch,Thu Apr 10 19:32:15 2025,True
5,0.051,0.04,0.034,0.029,0.025,tran_SchGtKttmmTtVt_24,Sch,Thu Apr 10 19:30:14 2025,True
6,0.054,0.042,0.035,0.03,0.025,tran_SchGtKttmmTtVt_23,Sch,Thu Apr 10 19:28:03 2025,True
7,0.055,0.042,0.035,0.031,0.026,tran_SchGtKttmmTtVt_22,Sch,Thu Apr 10 19:25:59 2025,True
8,0.055,0.048,0.04,0.033,0.029,tran_SchGtKttmmTtVt_21,Sch,Thu Apr 10 19:23:57 2025,True
9,0.05,0.044,0.036,0.031,0.026,tran_SchGtKttmmTtVt_20,Sch,Thu Apr 10 19:21:55 2025,True
10,0.001,0.057,0.045,0.037,0.031,tran_SchGtKttmmTtVt_19,Sch,Thu Apr 10 19:19:50 2025,True
11,0.032,0.033,0.029,0.025,0.022,tran_SchGtKttmmTtVt_18,Sch,Thu Apr 10 19:17:51 2025,True
12,0.054,0.048,0.04,0.034,0.028,tran_SchGtKttmmTtVt_17,Sch,Thu Apr 10 19:15:47 2025,True
13,0.048,0.038,0.032,0.028,0.024,tran_SchGtKttmmTtVt_16,Sch,Thu Apr 10 19:13:45 2025,True
14,0.049,0.045,0.037,0.032,0.027,tran_SchGtKttmmTtVt_15,Sch,Thu Apr 10 19:11:39 2025,True
15,0.048,0.037,0.031,0.026,0.023,tran_SchGtKttmmTtVt_14,Sch,Thu Apr 10 19:09:37 2025,True
16,0.054,0.048,0.04,0.033,0.028,tran_SchGtKttmmTtVt_13,Sch,Thu Apr 10 19:07:26 2025,True
17,0.054,0.044,0.036,0.031,0.027,tran_SchGtKttmmTtVt_12,Sch,Thu Apr 10 19:05:20 2025,True
18,0.0,0.085,0.063,0.05,0.04,tran_SchGtKttmmTtVt_11,Sch,Thu Apr 10 19:03:18 2025,True
19,0.039,0.03,0.026,0.023,0.02,tran_SchGtKttmmTtVt_10,Sch,Thu Apr 10 19:01:18 2025,True
20,0.037,0.036,0.03,0.026,0.023,tran_SchGtKttmmTtVt_9,Sch,Thu Apr 10 18:59:13 2025,True
21,0.035,0.034,0.029,0.026,0.022,tran_SchGtKttmmTtVt_8,Sch,Thu Apr 10 18:57:09 2025,True
22,0.053,0.047,0.04,0.034,0.029,tran_SchGtKttmmTtVt_7,Sch,Thu Apr 10 18:55:05 2025,True
23,0.05,0.039,0.034,0.029,0.025,tran_SchGtKttmmTtVt_6,Sch,Thu Apr 10 18:53:05 2025,True
24,0.049,0.044,0.037,0.032,0.027,tran_SchGtKttmmTtVt_5,Sch,Thu Apr 10 18:51:00 2025,True
25,0.054,0.042,0.036,0.03,0.025,tran_SchGtKttmmTtVt_4,Sch,Thu Apr 10 18:48:57 2025,True
26,0.034,0.034,0.03,0.026,0.023,tran_SchGtKttmmTtVt_3,Sch,Thu Apr 10 18:46:54 2025,True
27,0.05,0.039,0.034,0.029,0.025,tran_SchGtKttmmTtVt_2,Sch,Thu Apr 10 18:44:52 2025,True
28,0.036,0.035,0.031,0.026,0.023,tran_SchGtKttmmTtVt_1,Sch,Thu Apr 10 18:42:49 2025,True
29,0.064,0.049,0.041,0.034,0.028,tran_SchGtKttmmTtVt,Sch,Thu Apr 10 18:40:42 2025,True
