,vd1_-40,vd1_-30,vd1_-20,vd1_-10,vd1_0,vd1_10,vd1_20,vd1_30,vd1_40,vd1_50,vd1_60,vd1_70,vd1_80,vd1_90,vd1_100,vd1_110,vd1_120,vd2_-40,vd2_-30,vd2_-20,vd2_-10,vd2_0,vd2_10,vd2_20,vd2_30,vd2_40,vd2_50,vd2_60,vd2_70,vd2_80,vd2_90,vd2_100,vd2_110,vd2_120,i_out_-40,i_out_-30,i_out_-20,i_out_-10,i_out_0,i_out_10,i_out_20,i_out_30,i_out_40,i_out_50,i_out_60,i_out_70,i_out_80,i_out_90,i_out_100,i_out_110,i_out_120,name,type,time,OK
0,0.7851005,0.7676293,0.750096,0.7324974,0.7148321,0.6970984,0.6792929,0.6614121,0.6434554,0.625427,0.6073356,0.5891944,0.5710213,0.5528398,0.5346824,0.5165974,0.498668,0.7409215,0.7211895,0.7013155,0.6813016,0.6611501,0.6408631,0.6204422,0.5998885,0.5792041,0.5583921,0.5374572,0.5164049,0.495242,0.4739766,0.4526191,0.431184,0.4096949,3.664304e-07,3.842144e-07,4.024108e-07,4.208582e-07,4.396779e-07,4.587197e-07,4.779185e-07,4.972068e-07,5.165379e-07,5.358921e-07,5.552785e-07,5.747314e-07,5.943115e-07,6.14111e-07,6.342708e-07,6.550184e-07,6.767682e-07,tran_SchGtKfsTlVh,Sch,Tue Apr  8 10:39:47 2025,True
1,0.7864331,0.7683121,0.7501944,0.7320536,0.7138643,0.6956096,0.6772793,0.658868,0.6403735,0.6217954,0.6031347,0.5843929,0.5655724,0.5466762,0.527709,0.5086779,0.4895933,0.7413397,0.7214033,0.7013462,0.6811637,0.6608509,0.6404053,0.6198265,0.5991151,0.5782728,0.5573015,0.5362035,0.5149811,0.4936368,0.4721732,0.4505931,0.4289003,0.4070993,3.735237e-07,3.876118e-07,4.024922e-07,4.1796e-07,4.338211e-07,4.499312e-07,4.661889e-07,4.825212e-07,4.988745e-07,5.152086e-07,5.314908e-07,5.476959e-07,5.638021e-07,5.797203e-07,5.955751e-07,6.113396e-07,6.27022e-07,tran_SchGtKsfTlVh,Sch,Tue Apr  8 10:39:36 2025,True
2,0.7868702,0.7692438,0.7515643,0.7338204,0.7160065,0.6981205,0.6801615,0.6621289,0.644022,0.6258413,0.6075895,0.5892731,0.570902,0.5524904,0.5340571,0.5156293,0.4972494,0.7413107,0.7214785,0.7015077,0.681398,0.6611507,0.6407676,0.6202511,0.5996034,0.5788263,0.557922,0.5368933,0.5157438,0.494478,0.4731016,0.4516212,0.4300458,0.408388,4.316364e-07,4.514104e-07,4.717048e-07,4.923852e-07,5.133571e-07,5.344503e-07,5.558074e-07,5.772697e-07,5.987866e-07,6.203102e-07,6.418143e-07,6.632951e-07,6.84775e-07,7.063016e-07,7.279549e-07,7.498644e-07,7.72255e-07,tran_SchGtKffTlVh,Sch,Tue Apr  8 10:39:25 2025,True
3,0.7843437,0.7665031,0.7486272,0.7306976,0.7127007,0.6946286,0.6764776,0.6582469,0.6399369,0.6215493,0.6030856,0.5845473,0.565937,0.5472596,0.5285235,0.5097416,0.4909321,0.7406737,0.7209412,0.7010758,0.6810749,0.6609374,0.6406633,0.620254,0.5997117,0.5790387,0.5582375,0.5373105,0.5162601,0.4950887,0.4737995,0.4523965,0.4308851,0.409272,3.217106e-07,3.348207e-07,3.484418e-07,3.624365e-07,3.766931e-07,3.911309e-07,4.05692e-07,4.20334e-07,4.350242e-07,4.49735e-07,4.644405e-07,4.791166e-07,4.93745e-07,5.082349e-07,5.227678e-07,5.372952e-07,5.518745e-07,tran_SchGtKssTlVh,Sch,Tue Apr  8 10:39:14 2025,True
4,0.7851005,0.7676293,0.750096,0.7324974,0.7148321,0.6970984,0.6792929,0.6614121,0.6434554,0.625427,0.6073356,0.5891944,0.5710213,0.5528398,0.5346824,0.5165974,0.498668,0.7409215,0.7211895,0.7013155,0.6813016,0.6611501,0.6408631,0.6204422,0.5998885,0.5792041,0.5583921,0.5374572,0.5164049,0.495242,0.4739766,0.4526191,0.431184,0.4096949,3.664304e-07,3.842144e-07,4.024108e-07,4.208582e-07,4.396779e-07,4.587197e-07,4.779185e-07,4.972068e-07,5.165379e-07,5.358921e-07,5.552785e-07,5.747314e-07,5.943115e-07,6.14111e-07,6.342708e-07,6.550184e-07,6.767682e-07,tran_SchGtKfsThVh,Sch,Tue Apr  8 10:39:03 2025,True
5,0.7864331,0.7683121,0.7501944,0.7320536,0.7138643,0.6956096,0.6772793,0.658868,0.6403735,0.6217954,0.6031347,0.5843929,0.5655724,0.5466762,0.527709,0.5086779,0.4895933,0.7413397,0.7214033,0.7013462,0.6811637,0.6608509,0.6404053,0.6198265,0.5991151,0.5782728,0.5573015,0.5362035,0.5149811,0.4936368,0.4721732,0.4505931,0.4289003,0.4070993,3.735237e-07,3.876118e-07,4.024922e-07,4.1796e-07,4.338211e-07,4.499312e-07,4.661889e-07,4.825212e-07,4.988745e-07,5.152086e-07,5.314908e-07,5.476959e-07,5.638021e-07,5.797203e-07,5.955751e-07,6.113396e-07,6.27022e-07,tran_SchGtKsfThVh,Sch,Tue Apr  8 10:38:53 2025,True
6,0.7868702,0.7692438,0.7515643,0.7338204,0.7160065,0.6981205,0.6801615,0.6621289,0.644022,0.6258413,0.6075895,0.5892731,0.570902,0.5524904,0.5340571,0.5156293,0.4972494,0.7413107,0.7214785,0.7015077,0.681398,0.6611507,0.6407676,0.6202511,0.5996034,0.5788263,0.557922,0.5368933,0.5157438,0.494478,0.4731016,0.4516212,0.4300458,0.408388,4.316364e-07,4.514104e-07,4.717048e-07,4.923852e-07,5.133571e-07,5.344503e-07,5.558074e-07,5.772697e-07,5.987866e-07,6.203102e-07,6.418143e-07,6.632951e-07,6.84775e-07,7.063016e-07,7.279549e-07,7.498644e-07,7.72255e-07,tran_SchGtKffThVh,Sch,Tue Apr  8 10:38:43 2025,True
7,0.7843437,0.7665031,0.7486272,0.7306976,0.7127007,0.6946286,0.6764776,0.6582469,0.6399369,0.6215493,0.6030856,0.5845473,0.565937,0.5472596,0.5285235,0.5097416,0.4909321,0.7406737,0.7209412,0.7010758,0.6810749,0.6609374,0.6406633,0.620254,0.5997117,0.5790387,0.5582375,0.5373105,0.5162601,0.4950887,0.4737995,0.4523965,0.4308851,0.409272,3.217106e-07,3.348207e-07,3.484418e-07,3.624365e-07,3.766931e-07,3.911309e-07,4.05692e-07,4.20334e-07,4.350242e-07,4.49735e-07,4.644405e-07,4.791166e-07,4.93745e-07,5.082349e-07,5.227678e-07,5.372952e-07,5.518745e-07,tran_SchGtKssThVh,Sch,Tue Apr  8 10:38:32 2025,True
8,0.7851005,0.7676293,0.750096,0.7324974,0.7148321,0.6970984,0.6792929,0.6614121,0.6434554,0.625427,0.6073356,0.5891944,0.5710213,0.5528398,0.5346824,0.5165974,0.498668,0.7409215,0.7211895,0.7013155,0.6813016,0.6611501,0.6408631,0.6204422,0.5998885,0.5792041,0.5583921,0.5374572,0.5164049,0.495242,0.4739766,0.4526191,0.431184,0.4096949,3.664304e-07,3.842144e-07,4.024108e-07,4.208582e-07,4.396779e-07,4.587197e-07,4.779185e-07,4.972068e-07,5.165379e-07,5.358921e-07,5.552785e-07,5.747314e-07,5.943115e-07,6.14111e-07,6.342708e-07,6.550184e-07,6.767682e-07,tran_SchGtKfsTlVl,Sch,Tue Apr  8 10:38:22 2025,True
9,0.7864331,0.7683121,0.7501944,0.7320536,0.7138643,0.6956096,0.6772793,0.658868,0.6403735,0.6217954,0.6031347,0.5843929,0.5655724,0.5466762,0.527709,0.5086779,0.4895933,0.7413397,0.7214033,0.7013462,0.6811637,0.6608509,0.6404053,0.6198265,0.5991151,0.5782728,0.5573015,0.5362035,0.5149811,0.4936368,0.4721732,0.4505931,0.4289003,0.4070993,3.735237e-07,3.876118e-07,4.024922e-07,4.1796e-07,4.338211e-07,4.499312e-07,4.661889e-07,4.825212e-07,4.988745e-07,5.152086e-07,5.314908e-07,5.476959e-07,5.638021e-07,5.797203e-07,5.955751e-07,6.113396e-07,6.27022e-07,tran_SchGtKsfTlVl,Sch,Tue Apr  8 10:38:11 2025,True
