,vd1_-40,vd1_-30,vd1_-20,vd1_-10,vd1_0,vd1_10,vd1_20,vd1_30,vd1_40,vd1_50,vd1_60,vd1_70,vd1_80,vd1_90,vd1_100,vd1_110,vd1_120,vd2_-40,vd2_-30,vd2_-20,vd2_-10,vd2_0,vd2_10,vd2_20,vd2_30,vd2_40,vd2_50,vd2_60,vd2_70,vd2_80,vd2_90,vd2_100,vd2_110,vd2_120,i_out_-40,i_out_-30,i_out_-20,i_out_-10,i_out_0,i_out_10,i_out_20,i_out_30,i_out_40,i_out_50,i_out_60,i_out_70,i_out_80,i_out_90,i_out_100,i_out_110,i_out_120,name,type,time,OK
0,0.8005826,0.7827815,0.7648941,0.7469169,0.7288498,0.7106952,0.6924564,0.6741373,0.6557417,0.6372725,0.6187322,0.6001234,0.5814502,0.5627194,0.5439405,0.5251268,0.5062966,0.7454449,0.7256122,0.7056269,0.685492,0.6652113,0.6447885,0.6242276,0.6035324,0.5827065,0.561753,0.5406748,0.5194745,0.4981553,0.4767206,0.4551747,0.4335227,0.4117711,4.984373e-07,5.131174e-07,5.281561e-07,5.434685e-07,5.589009e-07,5.746128e-07,5.904846e-07,6.064968e-07,6.22632e-07,6.388721e-07,6.551973e-07,6.715889e-07,6.880393e-07,7.045575e-07,7.211702e-07,7.379241e-07,7.548937e-07,tran_SchGtKttmmTtVt_29,Sch,Thu Apr 10 17:21:05 2025,True
1,0.6263192,0.6015455,0.576663,0.696459,0.6785414,0.660497,0.6423368,0.6240696,0.6057029,0.5872446,0.5687027,0.5500866,0.5314068,0.5126754,0.4939077,0.4751234,0.4563516,0.6262968,0.6015227,0.5766396,0.6679733,0.6479174,0.6276987,0.6073251,0.5868035,0.5661397,0.5453391,0.5244072,0.5033494,0.4821715,0.4608796,0.4394807,0.417983,0.396398,1.876773e-11,1.809308e-11,1.764543e-11,2.802433e-07,2.982321e-07,3.162249e-07,3.34237e-07,3.52179e-07,3.702451e-07,3.883449e-07,4.06488e-07,4.246902e-07,4.429753e-07,4.613771e-07,4.799449e-07,4.987535e-07,5.179267e-07,tran_SchGtKttmmTtVt_28,Sch,Thu Apr 10 17:20:53 2025,True
2,0.7900428,0.7725889,0.754957,0.7371694,0.7192444,0.7011965,0.6830371,0.6647754,0.6464189,0.6279733,0.6094437,0.5908353,0.5721547,0.5534108,0.5346148,0.5157817,0.4969315,0.742511,0.7227789,0.7028692,0.6827922,0.6625569,0.6421704,0.621639,0.6009681,0.5801621,0.559225,0.5381603,0.5169714,0.4956621,0.4742366,0.4526997,0.431057,0.4093157,3.725941e-07,3.898808e-07,4.069305e-07,4.238217e-07,4.406125e-07,4.57343e-07,4.739414e-07,4.90618e-07,5.07283e-07,5.239353e-07,5.405715e-07,5.571902e-07,5.737982e-07,5.904149e-07,6.070742e-07,6.238274e-07,6.407528e-07,tran_SchGtKttmmTtVt_27,Sch,Thu Apr 10 17:20:41 2025,True
3,0.8084179,0.7904244,0.7723406,0.7541717,0.735918,0.7175795,0.6991564,0.6806496,0.6620606,0.6433907,0.6246417,0.605816,0.586918,0.5679543,0.5489344,0.5298714,0.5107835,0.7473714,0.7274974,0.7074669,0.6872854,0.6669573,0.6464861,0.6258752,0.6051278,0.584247,0.5632357,0.5420967,0.5208328,0.4994473,0.4779436,0.4563262,0.4346002,0.4127718,5.205643e-07,5.349297e-07,5.495619e-07,5.644294e-07,5.79374e-07,5.94542e-07,6.097813e-07,6.250486e-07,6.403035e-07,6.555118e-07,6.706421e-07,6.856686e-07,7.005799e-07,7.153795e-07,7.300888e-07,7.447503e-07,7.594358e-07,tran_SchGtKttmmTtVt_26,Sch,Thu Apr 10 17:20:29 2025,True
4,0.7796959,0.7613092,0.7429347,0.7245562,0.7061603,0.6877369,0.669279,0.6507808,0.632237,0.6136417,0.5949893,0.5762766,0.5575048,0.53868,0.5198134,0.5009222,0.4820326,0.7392189,0.7191966,0.6990606,0.678809,0.6584401,0.6379531,0.6173478,0.5966244,0.5757829,0.5548234,0.5337455,0.5125499,0.4912385,0.4698148,0.4482836,0.4266514,0.4049275,2.933242e-07,3.059754e-07,3.193667e-07,3.333808e-07,3.478161e-07,3.627824e-07,3.781104e-07,3.937354e-07,4.095958e-07,4.256278e-07,4.417696e-07,4.579717e-07,4.742083e-07,4.904791e-07,5.068091e-07,5.232535e-07,5.399123e-07,tran_SchGtKttmmTtVt_25,Sch,Thu Apr 10 17:20:15 2025,True
5,0.7804782,0.7626663,0.7448987,0.7271254,0.7093184,0.691462,0.6735475,0.6555695,0.6375234,0.6194044,0.6012076,0.5829304,0.564574,0.5461444,0.5276516,0.5091108,0.4905441,0.7395133,0.7196836,0.6997491,0.6796959,0.6595171,0.6392102,0.6187743,0.5982099,0.5775176,0.5566978,0.5357508,0.5146778,0.4934808,0.4721632,0.4507297,0.4291862,0.4075405,3.416653e-07,3.572089e-07,3.737825e-07,3.91056e-07,4.088257e-07,4.26862e-07,4.452705e-07,4.638824e-07,4.826335e-07,5.014598e-07,5.202994e-07,5.391032e-07,5.578458e-07,5.765282e-07,5.951763e-07,6.138427e-07,6.326166e-07,tran_SchGtKttmmTtVt_24,Sch,Thu Apr 10 17:20:03 2025,True
6,0.7767902,0.7591639,0.7413284,0.7233211,0.7051666,0.6868821,0.6684808,0.6499729,0.6313677,0.6126737,0.5938995,0.5750545,0.556149,0.5371945,0.5182051,0.4991986,0.4802003,0.7381308,0.7183651,0.6984095,0.6782804,0.6579895,0.6375456,0.6169557,0.5962257,0.5753609,0.554366,0.5332459,0.5120053,0.490649,0.4691822,0.4476108,0.4259415,0.4041833,3.637792e-07,3.810532e-07,3.978831e-07,4.143442e-07,4.307406e-07,4.470283e-07,4.632404e-07,4.793982e-07,4.955136e-07,5.116e-07,5.276687e-07,5.437374e-07,5.598303e-07,5.759796e-07,5.922302e-07,6.086485e-07,6.253402e-07,tran_SchGtKttmmTtVt_23,Sch,Thu Apr 10 17:19:51 2025,True
7,0.810782,0.7922738,0.7740487,0.7559773,0.7379783,0.7200021,0.7020178,0.6840047,0.6659469,0.6478297,0.6296399,0.6113675,0.5930079,0.5745622,0.5560362,0.5374398,0.5187876,0.7479889,0.7279928,0.7079305,0.6877766,0.6675157,0.647139,0.6266421,0.6060226,0.5852791,0.5644102,0.5434147,0.5222923,0.5010439,0.4796714,0.4581783,0.4365686,0.4148477,5.874382e-07,5.973403e-07,6.102013e-07,6.250052e-07,6.411024e-07,6.580777e-07,6.756543e-07,6.935336e-07,7.117523e-07,7.300665e-07,7.48343e-07,7.664758e-07,7.843974e-07,8.020785e-07,8.195223e-07,8.367579e-07,8.538429e-07,tran_SchGtKttmmTtVt_22,Sch,Thu Apr 10 17:19:40 2025,True
8,0.7789379,0.7602443,0.7415904,0.7229552,0.7043186,0.685665,0.6669826,0.6482627,0.6294978,0.6106811,0.5918069,0.5728724,0.5538791,0.5348333,0.5157462,0.4966349,0.4775258,0.7389628,0.7188346,0.6986027,0.6782637,0.6578139,0.6372506,0.6165723,0.5957781,0.5748675,0.5538398,0.532695,0.5114338,0.4900581,0.4685715,0.446979,0.4252872,0.4035057,3.289012e-07,3.399891e-07,3.520561e-07,3.649344e-07,3.784664e-07,3.924237e-07,4.068983e-07,4.217033e-07,4.367601e-07,4.519949e-07,4.673416e-07,4.827502e-07,4.981959e-07,5.136804e-07,5.292315e-07,5.449075e-07,5.60815e-07,tran_SchGtKttmmTtVt_21,Sch,Thu Apr 10 17:19:29 2025,True
9,0.8057659,0.7879891,0.7701865,0.752319,0.7343692,0.7163307,0.6982027,0.6799867,0.6616844,0.6432974,0.6248263,0.6062726,0.5876394,0.5689329,0.5501623,0.5313405,0.5124854,0.7468278,0.7270097,0.7070532,0.6869525,0.6667068,0.6463178,0.6257884,0.6051218,0.5843211,0.563389,0.5423279,0.5211404,0.4998292,0.4783978,0.4568503,0.4351917,0.4134282,5.947201e-07,6.094623e-07,6.2505e-07,6.411142e-07,6.574557e-07,6.739635e-07,6.904701e-07,7.07134e-07,7.238148e-07,7.404735e-07,7.570714e-07,7.73575e-07,7.899659e-07,8.062472e-07,8.224424e-07,8.385979e-07,8.5479e-07,tran_SchGtKttmmTtVt_20,Sch,Thu Apr 10 17:19:17 2025,True
